Line#,Date,"Temperature (SD-TEMP 22460444:22460444-2),°F,Campus Bioassay Lab","RH (MX-RH-2 22460444:22460444-3),%,Campus Bioassay Lab","Light Intensity (MX-AL 22460444:22460444-4),lum/sqf,Campus Bioassay Lab","Dew Point (SD-TEMP 22460444:22460444-6),°F,Campus Bioassay Lab","Temperature (SD-TEMP 22460443:22460443-2),°C,Farm Basement GH,","RH (MX-RH-2 22460443:22460443-3),%,Farm Basement GH,","Light Intensity (MX-AL 22460443:22460443-4),Lux,Farm Basement GH,","Dew Point (SD-TEMP 22460443:22460443-6),°C,Farm Basement GH,"
1,26-08-02 18:19:01 +0000,,,,,26.388,59.54,72,17.897
2,26-08-02 18:24:01 +0000,,,,,26.304,59.61,72,17.837
3,26-08-02 18:29:01 +0000,,,,,26.224,59.64,71,17.77
4,26-08-02 18:34:01 +0000,,,,,26.151,59.63,72,17.7
5,26-08-02 18:39:01 +0000,,,,,26.09,59.86,72,17.705
6,26-08-02 18:44:01 +0000,,,,,26.029,60.01,72,17.685
7,26-08-02 18:49:01 +0000,,,,,25.97,60.21,73,17.683
8,26-08-02 18:54:01 +0000,,,,,25.92,60.32,72,17.665
9,26-08-02 18:59:01 +0000,,,,,25.871,60.43,76,17.649
10,26-08-02 19:04:01 +0000,,,,,25.831,60.52,76,17.636
11,26-08-02 19:09:01 +0000,,,,,25.792,60.77,76,17.662
12,26-08-02 19:14:01 +0000,,,,,25.757,60.85,72,17.652
13,26-08-02 19:19:01 +0000,,,,,25.725,60.94,76,17.644
14,26-08-02 19:24:01 +0000,,,,,25.695,61.01,73,17.634
15,26-08-02 19:29:01 +0000,,,,,25.666,61.21,72,17.658
16,26-08-02 19:34:01 +0000,,,,,25.641,61.32,72,17.664
17,26-08-02 19:39:01 +0000,,,,,25.617,61.59,72,17.713
18,26-08-02 19:44:01 +0000,,,,,25.594,61.62,72,17.698
19,26-08-02 19:49:01 +0000,,,,,25.575,61.53,71,17.656
20,26-08-02 19:54:01 +0000,,,,,25.553,62.01,71,17.759
21,26-08-02 19:59:01 +0000,,,,,25.532,62.25,72,17.802
22,26-08-02 20:04:01 +0000,,,,,25.737,61.6,72,17.827
23,26-08-02 20:09:01 +0000,,,,,26.232,61.12,72,18.168
24,26-08-02 20:14:01 +0000,,,,,26.652,60.37,71,18.367
25,26-08-02 20:19:01 +0000,,,,,26.879,59.54,71,18.357
26,26-08-02 20:24:01 +0000,,,,,26.732,59.33,71,18.164
27,26-08-02 20:29:01 +0000,,,,,26.609,59.16,71,18.003
28,26-08-02 20:34:01 +0000,,,,,26.524,59.32,72,17.967
29,26-08-02 20:39:01 +0000,,,,,26.446,59.44,73,17.925
30,26-08-02 20:44:01 +0000,,,,,26.375,59.51,72,17.877
31,26-08-02 20:49:01 +0000,,,,,26.308,59.59,71,17.836
32,26-08-02 20:54:01 +0000,,,,,26.249,59.59,72,17.781
33,26-08-02 20:59:01 +0000,,,,,26.195,59.76,74,17.777
34,26-08-02 21:04:01 +0000,,,,,26.145,59.82,72,17.745
35,26-08-02 21:09:01 +0000,,,,,26.096,59.92,71,17.726
36,26-08-02 21:14:01 +0000,,,,,26.054,60.03,71,17.715
37,26-08-02 21:19:01 +0000,,,,,26.014,60.15,71,17.708
38,26-08-02 21:24:01 +0000,,,,,25.978,60.22,71,17.693
39,26-08-02 21:29:01 +0000,,,,,25.943,60.38,73,17.703
40,26-08-02 21:34:01 +0000,,,,,25.908,60.47,73,17.694
41,26-08-02 21:39:01 +0000,,,,,25.877,60.56,73,17.689
42,26-08-02 21:44:01 +0000,,,,,25.85,60.63,71,17.682
43,26-08-02 21:49:01 +0000,,,,,25.824,60.67,73,17.668
44,26-08-02 21:54:01 +0000,,,,,25.8,60.82,73,17.682
45,26-08-02 21:59:01 +0000,,,,,25.777,60.91,72,17.685
46,26-08-02 22:04:01 +0000,,,,,25.754,61,72,17.686
47,26-08-02 22:09:01 +0000,,,,,25.733,60.97,72,17.659
48,26-08-02 22:14:01 +0000,,,,,25.714,61.05,72,17.664
49,26-08-02 22:19:01 +0000,,,,,25.695,61.12,71,17.662
50,26-08-02 22:24:01 +0000,,,,,25.678,61.17,73,17.661
51,26-08-02 22:29:01 +0000,,,,,25.661,61.21,72,17.655
52,26-08-02 22:34:01 +0000,,,,,25.646,61.17,72,17.631
53,26-08-02 22:39:01 +0000,,,,,25.632,61.22,72,17.631
54,26-08-02 22:44:01 +0000,,,,,25.619,61.26,72,17.627
55,26-08-02 22:49:01 +0000,,,,,25.603,61.33,72,17.632
56,26-08-02 22:54:01 +0000,,,,,25.591,61.37,72,17.631
57,26-08-02 22:59:01 +0000,,,,,25.579,61.37,71,17.619
58,26-08-02 23:04:01 +0000,,,,,25.569,61.39,71,17.615
59,26-08-02 23:09:01 +0000,,,,,25.769,61.01,71,17.705
60,26-08-02 23:14:01 +0000,,,,,26.278,60.54,71,18.059
61,26-08-02 23:19:01 +0000,,,,,26.735,59.6,71,18.239
62,26-08-02 23:24:01 +0000,,,,,26.866,58.92,70,18.179
63,26-08-02 23:29:01 +0000,,,,,26.728,58.72,71,17.997
64,26-08-02 23:34:01 +0000,,,,,26.614,58.62,71,17.861
65,26-08-02 23:39:01 +0000,,,,,26.528,58.67,70,17.795
66,26-08-02 23:44:01 +0000,,,,,26.459,58.76,70,17.756
67,26-08-02 23:49:01 +0000,,,,,26.394,58.89,70,17.728
68,26-08-02 23:54:01 +0000,,,,,26.334,58.97,71,17.695
69,26-08-02 23:59:01 +0000,,,,,26.273,59.01,70,17.649
70,26-08-03 00:04:01 +0000,,,,,26.223,59.04,70,17.609
71,26-08-03 00:09:01 +0000,,,,,26.171,59.13,70,17.584
72,26-08-03 00:14:01 +0000,,,,,26.127,59.21,70,17.566
73,26-08-03 00:19:01 +0000,,,,,26.081,59.35,70,17.558
74,26-08-03 00:24:01 +0000,,,,,26.042,59.35,70,17.523
75,26-08-03 00:29:01 +0000,,,,,26.005,59.47,70,17.521
76,26-08-03 00:34:01 +0000,,,,,25.968,59.51,70,17.495
77,26-08-03 00:39:01 +0000,,,,,25.94,59.59,69,17.491
78,26-08-03 00:44:01 +0000,,,,,25.908,59.58,69,17.459
79,26-08-03 00:49:01 +0000,,,,,25.879,59.63,69,17.444
80,26-08-03 00:54:01 +0000,,,,,25.85,59.72,69,17.442
81,26-08-03 00:59:01 +0000,,,,,25.822,59.76,69,17.427
82,26-08-03 01:04:01 +0000,,,,,25.795,59.76,69,17.401
83,26-08-03 01:09:01 +0000,,,,,25.768,59.86,69,17.401
84,26-08-03 01:14:01 +0000,,,,,25.742,59.81,69,17.363
85,26-08-03 01:19:01 +0000,,,,,25.719,59.85,69,17.353
86,26-08-03 01:24:01 +0000,,,,,25.695,59.89,69,17.341
87,26-08-03 01:29:01 +0000,,,,,25.807,59.59,69,17.366
88,26-08-03 01:34:01 +0000,,,,,26.276,59.27,69,17.722
89,26-08-03 01:39:01 +0000,,,,,26.733,58.57,69,17.959
90,26-08-03 01:44:01 +0000,,,,,26.935,57.86,69,17.955
91,26-08-03 01:49:01 +0000,,,,,26.802,57.52,69,17.735
92,26-08-03 01:54:01 +0000,,,,,26.687,57.55,69,17.637
93,26-08-03 01:59:01 +0000,,,,,26.592,57.59,69,17.559
94,26-08-03 02:04:01 +0000,,,,,26.516,57.69,69,17.516
95,26-08-03 02:09:01 +0000,,,,,26.441,57.55,69,17.408
96,26-08-03 02:14:01 +0000,,,,,26.377,57.69,69,17.387
97,26-08-03 02:19:01 +0000,,,,,26.308,57.89,69,17.376
98,26-08-03 02:24:01 +0000,,,,,26.247,57.91,69,17.325
99,26-08-03 02:29:01 +0000,,,,,26.186,58.01,69,17.295
100,26-08-03 02:34:01 +0000,,,,,26.131,58.12,69,17.273
101,26-08-03 02:39:01 +0000,,,,,26.078,58.08,69,17.215
102,26-08-03 02:44:01 +0000,,,,,26.031,58.22,69,17.206
103,26-08-03 02:49:01 +0000,,,,,25.982,58.36,69,17.201
104,26-08-03 02:54:01 +0000,,,,,25.938,58.43,69,17.177
105,26-08-03 02:59:01 +0000,,,,,25.895,58.5,69,17.158
106,26-08-03 03:04:01 +0000,,,,,25.856,58.59,69,17.145
107,26-08-03 03:09:01 +0000,,,,,25.815,58.59,69,17.104
108,26-08-03 03:14:01 +0000,,,,,25.775,58.63,69,17.079
109,26-08-03 03:19:01 +0000,,,,,25.736,58.67,69,17.054
110,26-08-03 03:24:01 +0000,,,,,25.698,58.82,69,17.059
111,26-08-03 03:29:01 +0000,,,,,25.663,58.75,69,17.006
112,26-08-03 03:34:01 +0000,,,,,25.873,58.6,69,17.161
113,26-08-03 03:39:01 +0000,,,,,26.287,58.04,69,17.397
114,26-08-03 03:44:01 +0000,,,,,26.712,57.39,69,17.615
115,26-08-03 03:49:01 +0000,,,,,26.888,56.74,69,17.599
116,26-08-03 03:54:01 +0000,,,,,26.727,56.57,69,17.401
117,26-08-03 03:59:01 +0000,,,,,26.6,56.6,69,17.293
118,26-08-03 04:04:01 +0000,,,,,26.501,56.68,69,17.222
119,26-08-03 04:09:01 +0000,,,,,26.409,56.74,69,17.154
120,26-08-03 04:14:01 +0000,,,,,26.33,56.83,69,17.103
121,26-08-03 04:19:01 +0000,,,,,26.258,56.94,69,17.067
122,26-08-03 04:24:01 +0000,,,,,26.189,57.02,69,17.026
123,26-08-03 04:29:01 +0000,,,,,26.122,57.15,69,17
124,26-08-03 04:34:01 +0000,,,,,26.058,57.25,69,16.966
125,26-08-03 04:39:01 +0000,,,,,26,57.33,69,16.936
126,26-08-03 04:44:01 +0000,,,,,25.946,57.44,69,16.914
127,26-08-03 04:49:01 +0000,,,,,25.894,57.59,69,16.907
128,26-08-03 04:54:01 +0000,,,,,25.845,57.53,69,16.845
129,26-08-03 04:59:01 +0000,,,,,25.796,57.69,69,16.843
130,26-08-03 05:04:01 +0000,,,,,25.749,57.87,69,16.849
131,26-08-03 05:09:01 +0000,,,,,25.705,57.99,69,16.841
132,26-08-03 05:14:01 +0000,,,,,25.663,58.07,69,16.822
133,26-08-03 05:19:01 +0000,,,,,25.654,58.06,69,16.811
134,26-08-03 05:24:01 +0000,,,,,25.908,57.58,69,16.918
135,26-08-03 05:29:01 +0000,,,,,26.34,56.88,69,17.129
136,26-08-03 05:34:01 +0000,,,,,26.675,56.18,69,17.243
137,26-08-03 05:39:01 +0000,,,,,26.83,55.45,69,17.18
138,26-08-03 05:44:01 +0000,,,,,26.675,55.42,69,17.029
139,26-08-03 05:49:01 +0000,,,,,26.554,55.43,69,16.919
140,26-08-03 05:54:01 +0000,,,,,26.45,55.54,69,16.853
